Article Title,Author(s),Publication Year,Journal,URL,Data Collected,Data Collected (AAT),Art Historical and/or Cultural Object of Study,Discipline/Concept (AAT),Affiliated Country,Funding Source,Data Deposited?,Data Repository,DOI/URL of Deposited Data,Data Availability Statement,Data Paper Cited?,DOI of Data Paper
Emergency Response Plan Workshops: The Value of an Interdisciplinary Collaborative Approach. An Innovative Methodology at the Service of the Collective,Marie Courselaud,2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2066317,"emergency response plan implementation data, geographical data",,NA,NA,France,none listed,in paper,none,none,none,none,
Sustainable and Beneficial: Pollutant Absorption and Relative Humidity Control in Display Cases by Saturated Salt Solutions,"Daniel Becker (https://orcid.org/0009-0008-8315-3729), Oliver Brieger (https://orcid.org/0009-0004-2686-2706), Christian Bur (https://orcid.org/0000-0003-2177-3646), Gerhard Eggert (https://orcid.org/0000-0003-2443-1094), Heiner Grieb, My Sa Marschibois, Katja Franziska Siebel",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2339727,"metal oxide semiconductor (MOS) gas sensor data, formaldehyde concentration, temperature and RH data ",Electron Microscopy; Measurements,NA,NA,Germany,German Federal Foundation for the Environment (DBU); International Institute for Conservation,in paper,none,none,none,none,
Preserving the Ancient Human Trackways Site in the Willandra Lakes World Heritage Area,Colin Macgregor,2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2050616,"optically stimulated luminescence (OSL) dating, silt composition analysis, scanning mould vertices",,"human footprints, Willandra Lakes World Heritage Area",Cultural Artifact,Austrailia ,New South Wales Department of Environment and Conservation,in paper,none,none,none,none,
"Building on Successful Mechanical and Passive Environmental Controls for Preventive Conservation Through Data Analysis at National Museum Cardiff, Wales","Diane Gwilt, Kelly McCauley (https://orcid.org/0009-0005-3367-0240), Robert Pearce",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2376926,"average montly dew points at different RHs, dew point in collection spaces, dew point in collection spaces by different methods of control, relative humidity in collection spaces, temperature in collection spaces, temperature in collection spaces by different methods of control, relative humidity in collection spaces by different methods of control, mechanical sysem performance before and after blocking ",Measurements; Electron Microscopy,National Museum Cardiff collections ,Fine Art,United Kingdom; United States,none listed,in paper,none,none,none,none,
Sustainable Conservation Solutions in a Hostile Environment: The Historic Huts of Antarctica,"Julian Bickersteth (https://orcid.org/0000-0002-2280-5913), Gordon Macdonald (https://orcid.org/0009-0000-0061-8378), Lizzie Meek (https://orcid.org/0000-0002-5831-1536)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2350286,"photogrammetric measurements, SLAM portable laser scan ",Photography,"Scott's Memorial Cross on Observation Hill, Antarctica",Cultural Artifact,Australia; Canada; New Zealand,none listed,in paper,none,none,none,none,
Integrating Art Conservation and Building Restoration in the Care of Organic Architecture,"Judith Bützer, Katharina Klauke",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1758498,"measurements, material analysis",Measurements,Düsseldorf Schauspielhaus theater building,Architecural Heritage,Germany,none listed,no,none,none,none,none,
"Tracking Trends: A Study of Post-Earthquake Approaches to Conservation in Patan, Nepal","Martina Haselberger (https://orcid.org/0000-0002-5286-9280), Gabriela Krist (https://orcid.org/0000-0002-4782-6438)",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1758872,"ultrasonic velocity measurements, condition assesment data",Measurements; Conditions,Patan Durbar Square and Royal Palace,Architecural Heritage,Austria,Austrian Developmednt Agency,no,none,none,none,none,
A Revised Model for Decision-Making in Contemporary Art Conservation and Presentation,"Andreas Fischer, Julia Giebeler, Gunnar Heydenreich, Andrea Sartorius",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1858619,"artwork descriptions; production history; exhibition conditions; artwork conditions; biography; acquisition history; interviews; conservation interventions and tests records; ethical guidelines; post restoration monitoring data; suspension structure; audiovisual sequences; artist's creative conception; exhibition lighting, electrical, fire safety; CRT malfunction rates; visual degradation; prototype history; technician reports",Conditions; Interviews,"Fish Flies on Sky, Kunstpalast Düsseldorf",Fine Art,Germany; the Netherlands,Wüstenrot Foundation,in paper; repository,Technology Art Sciences TH Köln,https://www.th-koeln.de/en/decision-making-model-for-contemporary-art-conservation-and-presentation--revisited_63959.php,none,none,
Non-destructive Dendrochronology: The Effect of Conservation Agents on Tree-ring Measurements in Archaeological Oak with Micro-computed Tomography,"Damian Gwerder, Jorge Martinez-Garcia, Sebastian Million, Oliver Nelle, Philipp Schuetz, Ingrid Stelzner, Jörg Stelzner (https://orcid.org/0000-0003-1295-5894)",2023,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2023.2183331,"physical and chemical sample; micro-computed tomography 3D image data; tree-ring measurements; contrast and grey-value analysis; comparative datasets; wood type, density, water content, degradation level; tomography data in gray value profiles, voxel resolution, ring-contrast metrics; tree-ring numbers, width, deviations; rings visibility report; conservation methods comparison in alcohol-ether-resin, Kauramin 800, PEG, saccharose, lactitol/trehalose, silicone oil, untreated control; dendrochronological dating results",Measurements; Wood,"archaeological oak, Leibniz-Zentrum für Archäologie",Cultural Artifact,Germany; Switzerland,German Research Foundation; Swiss National Science Foudation; Federal Cultural Foundation; Cultural Foundation of German States,in paper; repository,project homepage,https://www1.rgzm.de/kur/,none,none,
From Prism to Kaleidoscope: Effect Versus Intention in the Conservation of Contemporary Art,Muriel Verbeeck (https://orcid.org/0000-0001-7271-9127),2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1968594,"qualitative observations of sensory effects; stimulus-evaluation grid; descriptive and linguistic data (audience reactions, sensory vocabulary; comparative theoretical data; sight, sound, smell, touch; audience reactions; sensory vocabulary; qualitative assessment of perception; ethics, phenomenology, ontology theories",Observations,Cloaca Quattro installation ,Fine Art,Belgium; France; Luxembourg,Foundation for Advancement in Conservation; Tru Vue; Samuel H. Kress Foundation,in paper,none,none,none,none,
Museum Authorship and the Conservation of Media Installations: Two Case Studies from the Smithsonian American Art Museum,Dan Finn (https://orcid.org/0000-0002-4187-8878),2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1854548,"hardware and system data; behavioral data; video ana image documentation; interviews; workflow documentation; LED configurations; circuit design, CRT arrays, wiring and video-processing schematics for Maegatron/Matrix; logic analyzer outputs; photographs; still-frames videos; cross-hatch test signals; screen-recordings of PC animations; interviews; interviews with other studios; conservation reports, decision logs",Interviews; Photography,"For SAAM by Jenny Holzer, 2007; Megatron/Matrix by Nam June Paik,  1995",Fine Art ,United States,Smithsonian Institution ,in paper,none,none,none,none,
"Instantiation, Actualization, and Absence: The Continuation and Safeguarding of Katie Paterson's Future Library (2014-2114)",Brian Castriota (https://orcid.org/0000-0002-8495-8907),2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1977058,field data; interview; institutional documents; interviews; observations of ceremonies and venues; information in pamphlets,Interviews; Observations,Future Library (2014–2114) by Katie Paterson,Fine Art,United States; Norway,Horizon 2020 Research and Innovation Program; Marie Sklodowska Curie Grant,no,none,none,none,none,
"Lascaux Adhesives in Objects Conservation: Three Practical Case Studies on Leather, Skin, and Entomological Specimens","Bethany Palumbo, Fran Ritchie",2022,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2093538,"formulation data; performanca data; procedural documentationl material data; application results; leather conditions, ratios, pH, activation temperature; drying behavior; adhesion results; repair and fill techniques",Conditions; Measurements,Zane Grey's doctor bag; Miranda Birdwing butterfly specimens; golden eagle taxidermy; Bryce Canyon National Park,Cultural Artifact,United States; United Kingdom,none listed,no,none,none,none,none,
A Review of RTI and an Investigation into the Applicability of Micro-RTI as a Tool for the Documentation and Conservation of Modern and Contemporary Paintings,"Molly Hughes-Hallett (https://orcid.org/0000-0003-0689-8934), Paul Messier (https://orcid.org/0000-0001-5612-1483), Christina Young (https://orcid.org/0000-0003-0447-5006)",2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2019.1700724,"quantitative data; qualitative data; RTI light-angle captures; exposurem aperture, focusm magnification, LED wavelength; histogram analysis; micro-RTI; Lucida laser scanner; standard microscopy; post-treatment RTI captures; hardware specifications; performance metrics",,"paintings by Vordemberge-Gildewart, Parker, and Golding",Fine Art,United States; United Kingdom,none listed,SI,none,none,none,none,
Reengineering Broken Books (RBB): A Minimally-Interventive Tissue Repair Technique for Hollowback Books,"Kate Beattie, Brien Beidler (https://orcid.org/0000-0003-3605-2446), Laura Bergemann (https://orcid.org/0000-0002-2212-4616), Jana L Dambrogio (https://orcid.org/0000-0003-1597-5866), Emily Hishta Cohen (https://orcid.org/0000-0002-2044-6531), Ayako Letizia (https://orcid.org/0000-0002-7836-5558), Jennifer Pellecchia (https://orcid.org/0000-0002-1394-5527), Mary Uthuppuru (https://orcid.org/0000-0002-5174-4208)",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1919371,"physical attributes; material composition; treatment process data; performance data; documentations; size, weight, age, binding type, use category of books; number of layers, drying time; tugs test; statistical analysis of repairing conditions; treatment checklist; tracking table",Conditions,Massachusetts Institute of Technology's Libraries Book Collection,Cultural Artifact,United States,none listed,in paper; repository,Harvard Dataverse,https://dataverse.harvard.edu/dataverse/rbb,yes,none,
Version Control: Mark Rothko's Harvard Murals through the Lens of the Documentation Model for Time-Based Media Art,Ellen Davis (https://orcid.org/0000-0002-7805-9390),2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1913542,"qualitative documentation; historical data; archival records; conservation documentation; letters, exhibition memos, installation photographs; pigment analysis; color-loss records; institutional correspondence; critical reviews; spectator feedback; audience commentary; post-exhibition study-day transcript",Archival Materials; Photography; Colorant,Harvard Murals by Mark Rothko,Fine Art,United States,none listed,in paper,none,none,none,none,
Neodymium Magnets as a Minimal Intervention Alternative to Traditional Treatments for Fixing Paint on Contemporary Paintings,"Emanuel Sterp Moga (https://orcid.org/0000-0002-0158-1084), Alicia Sánchez Ortiz (https://orcid.org/0000-0002-3358-1943)",2022,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1980696,experimental data; applied conservation data; qualitative data; quantitative data; magnet specifications; force measurement; distance measurement; surface deformation data; UV-aging tests; Aquazol adhesive tests; treatment results; photographic documentation of intervention,Measurements; Photography,Presencia 1976 by Jose Luis Serrano; La Silla y el lagarto 1989 by Juan Iribarren; Retrato de Flora 1966 by Rene Portocarrero,Fine Art,Spain,none listed,in paper,none,none,none,none,
A Documentation Framework for Sound in Time-based Media Installation Art,Amy Brost (https://orcid.org/0000-0002-1716-4832),2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1919372,"qualitative datal descriptive data; technical metadata; interview data; gallery dimensions, sound absorption materials, spatial configuraiton; file formats; playback equioment; channel layout diagrams, live recording notes; condition assessment data with audio-analysis software",Interviews; Conditions,"The Visitors by Ragnar Kjartansson's, 2012",Fine Art,United States,Andrew W. Mellon Foundation; Media Conservation at MoMA,in paper,none,none,none,none,
Leveraging Systems Thinking to Dismantle Systemic Racism in Conservation,"Anisha Gupta (https://orcid.org/0009-0001-8231-8420), Joelle D J Wickens (https://orcid.org/0000-0001-9680-5708)",2024,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2024.2348903,self-reported racial demograhic statstics; US Census Bureau Report,,NA,NA,United States,Unidel Foundation Distinguished Graduate Scholar Award,in paper,none,none,none,none,
Conducting a Time-Based Media Conservation Assessment and Survey at The Metropolitan Museum of Art,"Mollie Anderson (https://orcid.org/0000-0002-8448-6081), Nora W Kennedy (https://orcid.org/0000-0003-0455-5057), Lia Kramer (https://orcid.org/0000-0003-1380-1918), Alexandra Nichols (https://orcid.org/0000-0002-8569-8641), Lorena Ramírez-López (https://orcid.org/0000-0003-1297-1990), Glenn Wharton (https://orcid.org/0000-0002-3831-0763)",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1855866,collection survey; interviews; LED Panel; Digital Betacam Tape;,Surveys; Interviews,NA,NA,United States; United Kingdom,none listed,in paper; SI,none,none,none,none,
Double Trouble: Replicas in Contemporary Art and Their Impact in Conservation Decision-making,"Maria Chatzidaki (https://orcid.org/0000-0003-1237-0749), Anthi Maria Soulioti (https://orcid.org/0000-0002-3733-4376)",2021,Studies in Conservation,https://doi.org/10.1080/00393630.2021.1974238,"street mural, timebased media artwork, 3D reproduction artworks; artwork documentation, conservation records, artists statements, observations, theoretical framework; qualitative, interpretive theotical data; case studies",Electronic Imaging; Observations,"Wild Drawing's Knowledge Speaks, Wisdom Listens; Naked on Pluto by de Valk, Mansoux, and Griffiths; Cosmo Wenman, Cosmonaut figure as Lucifer, the Lightbearer 2012",Fine Art; ,Greece; the Netherlands,none listed,in paper,none,none,none,none,
Korean Lacquerware from the Late Joseon Dynasty: Conservation and Analysis of Four Objects at the Asian Art Museum of San Francisco,"Mark Fenn, Kathy Z Gillis, Herant Khanjian, Colleen O'Shea, Michael Schilling",2021,Studies in Conservation,https://doi.org/10.1080/00393630.2021.1967551,"chemical and structural data; lacquer type, pigments, adhesive, textiles, inlay metals; microscopy data, optical, polorized light, SEM-EDX, FTIR; elemental data; XRF spectra; THM-Py-GC-MS for identifying shellac, oil, laccol, ottchil; photographic documentation, micropgraphs; treatmet data, conservation methods records, paper fills, surface stabilization; analytical data, scientific data, photographic data, descriptive qualitative data",Coating; Colorant; Electron Microscopy; Fourier Transform Infrared Spectroscopy (FTIR); Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Photography,"lacquerware, Asian Art Museum Collection ",Cultural Artifact; Decorative Art,United States,Overseas Korean Cultural Heritage Foundation (OKCHF),in paper,none,none,none,none,
"Changeability, Variability, and Malleability: Sharing Perspectives on the Role of Change in Time-based Art and Utilitarian Machinery Conservation","Asti Sherring, Alison Wain",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1860672,"case studies of artworks and machinery, theoretical framework; literary analysis; mesuem practices documentation; interviews; correspondences",Interviews,Arboria by Architectus of Air; Old People's Home by Sun Yuan and Peng Yu; Molonglo Radio Telescope; A Connective Reveal - Land by Robert Andrew; photographs of machinery at the National Museum of Australia,Fine Art,Australia,none listed,in paper,none,none,none,none,
Treating Smalt: A Preliminary SEM-EDX Study of the Effects of Aqueous-based Alkaline Conservation Treatments on Smalt in Wall Paintings,"Giovanni Cavallo, Jacopo Gilardi, Elisabeth Manship, Maria Pia Riccardi",2021,Studies in Conservation,https://doi.org/10.1080/00393630.2021.1940721,"lime-based wall painting replicas, painting techniques, conservation treatment, analytical data, SEM-EDX, chemical composition, pigment changes, light inspection, digital microscope images",Electron Microscopy; Colorant,"wall paintings in Canton Ticino, Switzerlan, 16th century",Fine Art,Switzerland; Italy,none listed,in paper,none,none,none,none,
Developing an Adaptive Climate Control Strategy and Programme Monitoring Micro-change in Wooden Heritage Objects,"Vincent Laudato Beltran, Caitlin Breare, MaryJo Lelyveld, Michael Varcoe-Cocks, Cecilia Winter, Michal Łukomski (https://orcid.org/0000-0001-7942-9026)",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2076779,"environmental data, humidity and temperature daya from BAS, energy consumption data; AE monitoring data, material stress response data, photographic and visual condition data, baseline condition data",Measurements; Photography; Conditions,"National Gallery of Victoria Collection, Melbourne, Victoria",Fine Art; Decorative Art,Australia; United States,none listed,in paper,none,none,none,none,
A Robotic Storage Facility for the Dutch National Library Collections,"Bart Ankersmit, Foekje Boersma (https://orcid.org/0000-0002-0545-9836), Marco Martens, Marc Stappers",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2045420,"climate data; temperature, humidity; energy usage data; moisture content; simulation-generated data",Measurements,NA,NA,The Netherlands,Metamorfoze,in paper,none,none,none,none,
Assessing the Long-term Success of Reigate Stone Conservation at Hampton Court Palace and the Tower of London,"Ian Angus, Martin Michette, Heather Viles, Constantina Vlachou-Mogire (https://orcid.org/0000-0003-2020-090X)",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1752427,"survey; visual inspection; past conservation records; surface measurement; water uptakel drilling resistance measurement; comparative data; crust formation; quantitative data; qualitative data; photographic data, archival documentation",Surveys; Measurements; Photography,Historic Royal Palaces archives; Tower of London; Hampton Court Palace,Architecural Heritage,United Kingdom,"Engineering and Physical Sciences Research Council (EPSRC); Historic Royal Palaces (HRP); Centre for Doctoral Training in Science and Engineering in Arts, Heritage and Archaelogy (SEAHA)",in paper; SI,none,none,none,none,
Conserving Transparent Plastics: Bringing Research into Practice Through the Treatment of the Poly(Methyl Methacrylate) Sculpture Giraffa Artificiale,"Alexandra Bridarolli, Marco Demmelbauer, Michael Doutre, Bianca Gilli, Anna Laganà, Tom Learner, Maarten R van Bommel, Michał Łukomski",2025,Studies in Conservation,https://doi.org/10.1080/00393630.2025.2450980,"FTIR spectra, sculpture composition; GC-MS data; thermal desorption; microfadeometry (MFT) lightfastness data; color matching fills; microscope observations; photoelastic stress analysis images; photographic documentation; dynamic mechanical analysis; tensile testing data; adhesive performance; bone strength evaluation; mock test data; observational data; chemical data; experiemental data",Fourier Transform Infrared Spectroscopy (FTIR); Observations; Photography,Giraffa Artificiale by Gino Marotta,Fine Art,Italy; United States; Canada,none listed,in paper; SI,none,none,none,none,
Research and Development of a Photogrammetric Condition Monitoring Workflow to Improve Change Detection in Wall Paintings,"Luigi Barazzetti (https://orcid.org/0000-0002-7859-86770, Katey Corda (https://orcid.org/0000-0002-5721-9279), Wendy Rose (https://orcid.org/0000-0002-3767-7504), Lori Wong (https://orcid.org/0000-0001-9704-092X)",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2067969,"2D images; sparse point clouds, digital elevation models (DEMs); orthophotos; DEM of differences; object measurements; changes measurements; analytical data; lighting conditions; 3D spatial data; observational data",Photography; Measurements; Conditions; Electronic Imaging; Observations,NA,NA,Italy; United States; Canada,none listed,in paper,none,none,none,none,
Green Alternatives for Archaeological Iron Stabilization,"Saskia Bindschedler, Sarah James, Edith Joseph, Pilar Junier, Patrycja Petrasz, Sami Zhioua",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2336880,"XRF elemental composition data; spectroscopy data; FTIR spectra; fungal biomass; SEM-EDX elemental data; chemical data, ion concentrations; pH measurements; experimental data",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Fourier Transform Infrared Spectroscopy (FTIR); Electron Microscopy; Measurements,NA,NA,Switzerland,Horizon-RIA Project; State Secretary for Education,in paper,none,none,none,none,
Sustainable and Collaborative Solutions for the Long-term Care of Heritage Earthen Sites in Seismic Areas in Peru,"Rafael Aguilar, Claudia Cancino, Georgios Karanikoloudis, Paulo B Lourenço, Elena Macchioni (https://orcid.org/0000-0001-5442-5950), Nuno Mendes",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2382549,"visual damage; painting conditions; structual elements, qualitative observational data; structual health monitoring data; LVDT readings; spatial survey data",Conditions; Observations; Surveys,"Kuñotambo chruch, Peru, 17th century ",Architecural Heritage,United States; Portugal; Peru,Getty Conservation Institute; Ministry of Culture of Peru,in paper,none,none,none,none,
Pleasing the Wrathful Deities: Ethical Approaches to the Care of Tibetan Skull Drums,"Rachael Durkin (https://orcid.org/0000-0003-2530-54440, Richard Mulholland (https://orcid.org/0000-0001-5220-3078)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2336793,survey data; interviews; observational descriptive data; ethnographic data,Surveys; Interviews; Observations,Tibetan ritual thöd-rnga skull drums,Cultural Artifact; Decorative Art,United Kingdom,none listed,in paper,none,none,none,none,
Learning from the Past: Rediscovering Traditional Medieval Wood Tar Adhesives for Sustainable Stone Conservation and Built Heritage,Bettina Ebert (https://orcid.org/0000-0002-4940-823X),2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2339728,"pine tar, pine resin, beeswax, inorganic fillers; GC-MS data; chemical data; radiocabon dating data, organic composition data; archival recors, historical documentation",,Stavanger Cathedral,Architecural Heritage,Norway,"Museum of Archaeogy, University of Stavanger; Research Council of Norway; Getty Conservation Institute",in paper,none,none,none,none,